,meandepth,KB,F,ROH residuals,Inbreeding residuals,breed,purebred,Inbreeding ranking,ROH ranking,average ranking
115,0.3879091795,414341,-0.7501,-428407.1999,-0.1690210742,Saluki+Alaskan sled dog (50/50),n,4,2,3
6,0.2611094872,1126740,-0.4352,-298498.1631,-0.1708339421,GERMAN SHEPHERD & HUSKY MIX,n,3,4,3.5
44,0.193176,1648490,-0.1944,-178506.1669,-0.1939925106,FRENCH BULLDOG,y,1,9,5
61,0.3896398974,516081,-0.7292,-321119.4974,-0.1439115486,PUG + CHIHUAHUA,n,9,3,6
72,0.2546468974,1258230,-0.3967,-201191.3366,-0.152140131,Terrier Mix (German Shepherd),n,7,7,7
42,0.2387037949,1379630,-0.3441,-175662.2295,-0.1548974785,CAUCASIAN SHEPHERD,y,5,10,7.5
55,0.3160922308,967943,-0.5251,-188317.8152,-0.1313258554,AUSTRALIAN CATTLE DOG MIX WITH PITBULL TERRIER,n,10,8,9
99,0.1674332179,1844140,-0.05572,-103659.3589,-0.1847125068,Shiba Inu+Bichon Frise Mix,n,2,16,9
116,0.3613003077,683146,-0.6257,-253206.1983,-0.1108943228,Golden Retriever+Labrador retriever (50/50),n,15,5,10
9,0.2368443077,1392000,-0.3128,-174320.5077,-0.1299399014,HUSKY-PIT BULL-LABRADOR,n,11,11,11
29,0.09207234872,1725630,0.381,-478542.6057,-0.1007980465,GERMAN SHEPHERD,y,22,1,11.5
78,0.1914093846,1753210,-0.1448,-84308.11185,-0.1524723342,Mixed Husky/Belgian Malinois,n,6,21,13.5
62,0.2636165641,1198880,-0.3719,-212890.4423,-0.1013987296,BORDER COLLIE,y,21,6,13.5
59,0.2497464359,1352140,-0.3329,-135711.4453,-0.1055310013,PUG + CHIHUAHUA,n,18,13,15.5
100,0.1875890769,1764250,-0.09109,-94601.90515,-0.1157119325,Beagle Mix,n,14,17,15.5
41,0.1052504128,2101440,0.2982,-59805.48653,-0.1231270458,ROTTWEILER,y,13,25,19
19,0.2245377179,1534060,-0.2306,-106019.3725,-0.09569518585,GERMAN SHEPHERD MIX,n,24,15,19.5
87,0.08832824872,2131910,0.3897,-84233.17807,-0.1090329946,Australian Shepard,y,17,22,19.5
49,0.1978797692,1747000,-0.1293,-54579.37852,-0.1094874985,CHIHUAHUA,y,16,27,21.5
57,0.1686992051,1900830,-0.004431,-42292.84006,-0.1268113947,DOXIE MIX,n,12,32,22
112,0.2468658974,1336680,-0.2931,-168923.5386,-0.07525368484,3/4 Alaskan Sled Dog+ 1/4 Saluki,n,32,12,22
36,0.2942180769,1147690,-0.413,-116433.7443,-0.07627820713,DACHSHUND,y,31,14,22.5
84,0.2506648205,1394320,-0.3181,-88125.42452,-0.08772242556,Jackrussel (chihuahua mix possibly),n,27,20,23.5
43,0.2110251282,1680420,-0.1776,-41804.70874,-0.1028459507,BICHON FRISE + SHIH TZU,n,20,33,26.5
63,0.2252028462,1587750,-0.2189,-48310.92615,-0.08131533035,CHIHUAHUA,y,29,31,30
40,0.2247786667,1580930,-0.2081,-57694.42713,-0.07221969313,ISABELLE LILLAC (FRENCH BULLDOG) - RARE,y,34,26,30
