,F,meandepth,NSEG,KB,KBAVG
1,0.9041,0.024927353846153848,132,186832.0,1415.39
10,0.5654,0.24958741025641024,491,854640.0,1740.61
11,0.5304,0.274472,615,1184150.0,1925.44
12,0.496,0.299368076923077,552,998695.0,1809.23
13,0.4601,0.3243669230769231,426,702687.0,1649.5
14,0.4269,0.3492767692307693,214,327408.0,1529.94
15,0.3922,0.3741494358974358,66,2067130.0,31320.1
16,0.3584,0.3991972307692308,160,230954.0,1443.46
17,0.3244,0.42413066666666666,303,473148.0,1561.55
18,0.2904,0.4490686153846153,251,386119.0,1538.32
19,0.2576,0.4740386153846154,373,596537.0,1599.3
2,0.8596,0.049954343589743586,22,27838.6,1265.39
20,0.2238,0.4989110256410257,171,257658.0,1506.77
21,0.1906,0.5237790769230768,83,112409.0,1354.33
22,0.1597,0.5488323333333334,40,54001.4,1350.03
23,0.1279,0.5738815128205127,71,96213.1,1355.11
24,0.09591,0.5988758205128205,52,71977.7,1384.19
25,0.06436,0.6239053846153846,47,64781.1,1378.32
26,0.03308,0.6488149999999999,106,148416.0,1400.15
27,0.002414,0.6737888974358974,30,38630.6,1287.69
28,-0.02903,0.6986983076923077,92,125230.0,1361.19
29,-0.0592,0.7235830256410258,35,45939.1,1312.55
3,0.8222,0.07489593589743589,5,5569.64,1113.93
30,-0.08913,0.7486880512820514,14,16796.2,1199.73
31,-0.1187,0.7736342307692308,10,11261.7,1126.17
32,-0.1477,0.7986177435897436,13,15420.3,1186.18
33,-0.1761,0.8235821025641025,174,2281340.0,13111.2
34,-0.2042,0.8485042051282051,26,33658.7,1294.57
35,-0.2314,0.873542923076923,20,25112.8,1255.64
36,-0.2588,0.8985175897435898,10,12129.3,1212.93
37,-0.2846,0.9234938974358976,17,20565.5,1209.74
38,-0.312,0.9486072051282051,8,9264.68,1158.08
39,-0.3388,0.9736813846153848,270,2203640.0,8161.62
4,0.7821,0.09984009743589745,1,1041.39,1041.39
40,-0.3636,0.9986063333333332,3,3348.59,1116.2
41,-0.3887,1.023535564102564,3,3295.81,1098.6
42,-0.4131,1.0484665897435896,3,3349.16,1116.39
43,-0.4372,1.073465205128205,5,5569.64,1113.93
44,-0.4609,1.098433,6,6585.88,1097.65
45,-0.4841,1.1232769487179488,3,3349.32,1116.44
46,-0.5075,1.148221153846154,1,1041.39,1041.39
47,-0.5292,1.1730876153846155,1,1041.39,1041.39
48,-0.5517,1.197963230769231,414,2133690.0,5153.85
49,-0.5738,1.222951282051282,2,2081.34,1040.67
5,0.7438,0.12471889999999998,0,0.0,0.0
50,-0.5953,1.247898846153846,3,3354.7,1118.23
51,-0.6156,1.2729217692307695,2,2081.34,1040.67
52,-0.6373,1.2979458974358973,1,1041.39,1041.39
53,-0.6576,1.3228964102564105,1,1041.39,1041.39
54,-0.6775,1.3479115384615385,1,1041.39,1041.39
55,-0.6975,1.3729138461538462,1,1025.23,1025.23
56,-0.7164,1.3977664102564105,1,1025.23,1025.23
57,-0.735,1.4226751282051284,1,1035.9,1035.9
58,-0.7534,1.4476223076923076,1,1041.39,1041.39
59,-0.7714,1.4725776923076925,535,2024610.0,3784.33
6,0.7095,0.1496616923076923,591,1875800.0,3173.95
60,-0.7885,1.4974902564102563,1,1041.39,1041.39
61,-0.8051,1.5224176923076924,0,0.0,0.0
62,-0.8225,1.5473271794871795,0,0.0,0.0
63,-0.8389,1.572334358974359,0,0.0,0.0
64,-0.8548,1.5972384615384618,0,0.0,0.0
65,-0.8704,1.622248205128205,0,0.0,0.0
66,-0.8861,1.647261794871795,0,0.0,0.0
67,-0.9012,1.6722717948717951,0,0.0,0.0
68,-0.9162,1.6971794871794872,0,0.0,0.0
69,-0.9305,1.7221841025641027,0,0.0,0.0
7,0.6722,0.17467461538461537,0,0.0,0.0
70,-0.9441,1.7471979487179488,0,0.0,0.0
71,-0.9585,1.7722017948717952,0,0.0,0.0
72,-0.9729,1.7971635897435898,0,0.0,0.0
73,-0.9863,1.8220187179487175,0,0.0,0.0
74,-0.9998,1.8468776923076928,0,0.0,0.0
75,-1.013,1.8718482051282048,0,0.0,0.0
76,-1.026,1.8967571794871798,0,0.0,0.0
77,-1.038,1.92169,0,0.0,0.0
78,-1.051,1.9467023076923073,0,0.0,0.0
79,-1.063,1.9716500000000001,0,0.0,0.0
8,0.6367,0.1996027948717949,0,0.0,0.0
80,-1.074,1.9966246153846152,0,0.0,0.0
81,-1.086,2.0215566666666662,0,0.0,0.0
82,-1.098,2.0465294871794875,0,0.0,0.0
83,-1.109,2.071516923076923,0,0.0,0.0
84,-1.12,2.0964648717948715,640,1699230.0,2655.05
85,-1.131,2.121428205128206,0,0.0,0.0
86,-1.143,2.146377948717949,1,3787.47,3787.47
87,-1.154,2.1713782051282053,1,3787.47,3787.47
88,-1.165,2.1963587179487174,0,0.0,0.0
89,-1.175,2.2212646153846154,0,0.0,0.0
9,0.6007,0.2245449487179487,641,1345270.0,2098.7
90,-1.186,2.2461899999999995,1,3787.47,3787.47
91,-1.197,2.271176153846154,647,1516730.0,2344.25
92,-1.207,2.2961294871794875,0,0.0,0.0
93,-1.217,2.32117,1,3787.47,3787.47
94,-1.228,2.3460902564102564,1,3787.47,3787.47
95,-1.238,2.3710497435897437,1,3787.47,3787.47
96,-1.249,2.396038461538461,1,3787.47,3787.47
97,-1.259,2.42094641025641,1,3787.47,3787.47
98,-1.269,2.4459448717948717,1,3787.47,3787.47
99,-1.28,2.470938717948718,1,3787.47,3787.47
