#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	182256	17710346	14.3338	0.208104	35.7	57.9
chr2	1	84979418	136088	13095424	15.4101	0.225822	35.6	58.1
chr3	1	92479059	122472	11980441	12.9548	0.186763	35.7	58.1
chr4	1	89535178	119924	11631879	12.9914	0.188942	35.7	57.4
chr5	1	89562946	153456	14721468	16.437	0.241832	35.7	58.5
chr6	1	78113029	122267	11743745	15.0343	0.220835	35.7	57.8
chr7	1	81081596	114758	11007858	13.5763	0.198169	35.6	57.3
chr8	1	76405709	104488	10192943	13.3406	0.192848	35.7	57.4
chr9	1	61171909	121436	11546400	18.8753	0.280318	35.7	58.3
chr10	1	70643054	112051	10861630	15.3754	0.224068	35.7	58.5
chr11	1	74805798	100330	9821877	13.1298	0.18921	35.6	57.3
chr12	1	72970719	89721	8808242	12.0709	0.173116	35.6	58.3
chr13	1	64299765	83566	8122689	12.6325	0.183012	35.7	57.7
chr14	1	61112200	73095	7207489	11.7939	0.168539	35.7	58.1
chr15	1	64676183	88375	8600148	13.2972	0.192705	35.6	58.2
chr16	1	60362399	83735	8150209	13.5021	0.195495	35.7	57.6
chr17	1	65088165	96577	9249688	14.211	0.209105	35.7	57.1
chr18	1	56472973	93154	8871351	15.709	0.232917	35.7	57.9
chr19	1	55516201	63975	6322043	11.3877	0.162418	35.6	57.6
chr20	1	58627490	99156	9546554	16.2834	0.238998	35.7	58.7
chr21	1	51742555	67971	6675441	12.9013	0.185194	35.7	57.6
chr22	1	61573679	70425	6961664	11.3062	0.161319	35.7	58.4
chr23	1	53134997	67333	6611552	12.4429	0.178335	35.7	58.3
chr24	1	48566227	83031	7992217	16.4563	0.241757	35.7	58.4
chr25	1	51730745	73146	7140343	13.8029	0.199635	35.7	58.3
chr26	1	39257614	71095	6783899	17.2805	0.256026	35.7	57.1
chr27	1	46662488	62389	6075470	13.02	0.188327	35.6	57.3
chr28	1	41733330	67903	6577551	15.7609	0.229768	35.7	58.3
chr29	1	42517134	48240	4763792	11.2044	0.159792	35.6	57.6
chr30	1	40643782	59828	5811794	14.2993	0.207449	35.6	58.5
chr31	1	39901454	51002	4966210	12.4462	0.179768	35.7	58.1
chr32	1	40225481	44715	4395396	10.9269	0.156483	35.7	56.6
chr33	1	32139216	39455	3853621	11.9904	0.172315	35.6	57.7
chr34	1	42397973	58098	5657450	13.3437	0.193396	35.7	58
chr35	1	28051305	42474	3915900	13.9598	0.213585	35.7	54.1
chr36	1	31223415	38557	3814889	12.218	0.174177	35.7	58.4
chr37	1	30785915	40740	3995902	12.9796	0.186355	35.6	58.6
chr38	1	24803098	33996	3303588	13.3193	0.19269	35.7	57.8
chrX	1	124992030	172580	16857007	13.4865	0.194922	35.7	55.8
