#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	386759	33610318	27.2024	0.441704	35.7	57.9
chr2	1	84979418	289226	24638948	28.994	0.47967	35.6	58
chr3	1	92479059	259702	22859120	24.7182	0.395602	35.7	58.1
chr4	1	89535178	255154	22258041	24.8595	0.401751	35.7	57.4
chr5	1	89562946	324725	27440701	30.6385	0.511768	35.7	58.6
chr6	1	78113029	259633	22092833	28.2832	0.468955	35.7	57.8
chr7	1	81081596	243704	21009822	25.9119	0.420815	35.5	57.3
chr8	1	76405709	221967	19464993	25.4758	0.409627	35.7	57.4
chr9	1	61171909	258757	21289750	34.8031	0.597253	35.7	58.3
chr10	1	70643054	239301	20568445	29.116	0.478005	35.7	58.5
chr11	1	74805798	211789	18730332	25.0386	0.399306	35.6	57.3
chr12	1	72970719	190913	17042746	23.3556	0.368368	35.6	58.3
chr13	1	64299765	176869	15496836	24.1009	0.387419	35.7	57.7
chr14	1	61112200	155922	14052146	22.994	0.359815	35.7	58
chr15	1	64676183	187894	16471979	25.4684	0.409523	35.6	58.2
chr16	1	60362399	177795	15517222	25.7068	0.415351	35.7	57.6
chr17	1	65088165	204155	17552792	26.9677	0.442358	35.7	57.1
chr18	1	56472973	198486	16626901	29.4422	0.496198	35.7	57.9
chr19	1	55516201	136266	12281106	22.1217	0.345875	35.6	57.6
chr20	1	58627490	210960	17871724	30.4835	0.508431	35.7	58.7
chr21	1	51742555	145149	12895924	24.9232	0.395568	35.7	57.6
chr22	1	61573679	148869	13457462	21.8559	0.341237	35.7	58.4
chr23	1	53134997	143617	12819894	24.127	0.381004	35.7	58.3
chr24	1	48566227	175027	14849318	30.5754	0.509308	35.7	58.5
chr25	1	51730745	156043	13637235	26.362	0.425782	35.6	58.3
chr26	1	39257614	151241	12678331	32.2952	0.544883	35.7	57.2
chr27	1	46662488	132909	11630790	24.9254	0.400858	35.6	57.3
chr28	1	41733330	144091	12380302	29.6653	0.487431	35.7	58.4
chr29	1	42517134	102351	9280418	21.8275	0.338747	35.6	57.6
chr30	1	40643782	126656	10993565	27.0486	0.439368	35.6	58.5
chr31	1	39901454	108967	9552314	23.9398	0.384529	35.7	58.1
chr32	1	40225481	94359	8507395	21.1493	0.330382	35.7	56.6
chr33	1	32139216	84081	7484161	23.2867	0.367626	35.6	57.6
chr34	1	42397973	123631	10798756	25.47	0.411978	35.7	58
chr35	1	28051305	90647	7454687	26.5752	0.456303	35.7	54.2
chr36	1	31223415	81187	7323878	23.4564	0.366144	35.7	58.4
chr37	1	30785915	86471	7648557	24.8443	0.395638	35.7	58.7
chr38	1	24803098	72375	6296796	25.3871	0.41062	35.6	57.8
chrX	1	124992030	368067	32450129	25.9618	0.415896	35.7	55.8
